"review_title","review_verbatim","role","status","location","date","rating"
"Micromanaging, no work life balance","Branch manager role. Micromanagement to the core. Report after report of things you aren't doing correctly. Audits are conducted through the cameras. Absolutely no cell phone tolerance. Branch managers are business bankers- cold calls to prospect businesses and held accountable for achieving business goals alone (no bankers open business accounts) and held accountable for achieving consumer side as well. Incentive pay out only happens when 50% of your bankers achieve their goals, not if the branch is 100% or above or if you achieve the business goal that you are held personally accountable for. Understaffed and no applicants. Expected to conduct weekly meetings with every employee to touch base their goals - with no staff. Depending on branch size, bankers expected to call 800+ calls to consumers and branch managers expected to conduct consumer and business calls to be at target. Pnc is in the middle of switching programs to make it 'easier' - it's not. Expected to have 5 star customer service, write monthly action plans, and call surveys conducted on the branch for feedback and now additional calls to bad surveys to be invited back to be surveyed again. Phones must be answered on 3rd ring, even in front of clients at your station, expected to deliver offers to the client in the same interaction while delivering exceptional customer service, within a 'timely' (2 minute) manner. Corporate drives through your branches drive thru's and times their wait time while surprise visiting your branch.  Anyway, good benefits. ","Branch Manager","Current Employee","Merchantville, NJ","May 11, 2022","2.0"
"Great coworkers, fair pay","As long as you have a good manager, this is a great place to work. Everyone is super helpful and fun to work with. We do have goals to meet each month which gives me a challenge but I enjoy that. ","Bank Teller","Current Employee","Millersburg, OH","May 11, 2022","4.0"
"Great company but horrible upper management","great company to work for but everyone is competing against each other....sometimes management told you one thing and then damned if you do and dont. its a country club place... mickey mouse house club.","Relationship Banker","Former Employee","New Jersey","May 10, 2022","3.0"
"Great Work Culture ","I love work at PNC they hold strong core value and actually follow them. They are big on employee development and a innovative company.  They take customer and employee feedback and in corporate it into there procedure. The pay is great as well.  I love PNC ","Customer Service Representative","Current Employee","Remote","May 10, 2022","5.0"
"Terrible","Horrible place to work. Awful management and even more awful culture. Truly a miserable experience. Just enough pay to make other places less appealing not enough pay to make for a decent life. All around demoralizing and inhumane work environment. ","Consumer Loans Recovery Specialist","Former Employee","Kalamazoo, MI","May 9, 2022","1.0"
"Poor Retail Lending leadership has led to a mass exodus of top talent.  No signs of improvement.  ","Since the current leadership in the Retail Lending business has taken over the business environment has suffered greatly. The majority of the experienced product management talent have all left over the last year as a result of poor leadership and recent leadership decisions have made thing worse, especially in the card business. If you're considering a role in retail/card proceed with caution.  Average pay, a difficult managment team and low morale make this a challenging place to work. ","Senior Product Manager","Current Employee","Cleveland, OH","May 9, 2022","2.0"
"Do not take FA job at the branch","Bankers and tellers are forced to provide you with so call referrals. 99% are bad, so they can get management off their backs. The book you are given has been picked by all the old time advisors and you are left with the lower level clients. Compensation is also poor if you can not meet your goals. ","Financial Advisor","Former Employee","Eatontown, NJ","May 9, 2022","1.0"
"Management is super toxic.No confidentiality, hard to get vacation requested. ","Sales pressure.  Goals are unrealistic.Pressured to sale credit cards is insane.Constantly driving to Milwaukee for meetings that could be done virtually.Can't sit down.  You get to work 8 + hours on your feet.  ","Service Associate","Former Employee","West Bend, WI","May 8, 2022","2.0"
"Not a good place to work. Goals are way to high and pay is very low compared to other banks. "," Not a good place to work. Goals are way to high and pay is very low compared to other banks. However the benefits are somewhat good. But management looks everything that you do and criticizes your work. I would not consider this place if you are thinking about going into the banking industry.","Personal Banker","Former Employee","Vienna, VA","May 7, 2022","1.0"
"Lots of contact with home office in PA and everyone was super to work with!","Loved working here and would still be there if they had not moved their offices back to Pittsburgh.  Now they have come back to Texas!!!  Management was terrific.  What we was needed to do the job was provided.","Staff Assistant to Branch Manager","Former Employee","Dallas, TX","May 6, 2022","5.0"
"Good company","If you do your part they will definitely take care of you. They do offer a lot of advancement if you put enough effort into you job. Was very happy while employed with them ","Assistant Branch Manager","Former Employee","Lancaster, OH","May 4, 2022","3.0"
"Great Company because of Trainers & Management","The Trainers, and the training scheduled classes were really informative and live real day to day experiences.The only thing is when you were asked to get work done(overtime) and were not paid for it.","None","None","Remote (Former Employee)","Jacksonville, FL","4.0"
"Used to be decent, now a total nightmare ","Managers do not care about you, they treat you as a number. Compensation for goals were taken away yet you are still demanded to meet those goals. Corporate is a joke, they could care less about the little people. Expect to leave late and work every weekend since they barely hire people. Good job if you want to put a paycheck before your mental and physical health.","Bank Teller","Current Employee","Troy, MI","May 3, 2022","1.0"
"Retail Lending business environment continues to suffer under current leadership team (Especially in Card) ","Over the past 3-4 years the work environment in PNC's retail lending world has suffered greatly due to it's ineffective leadership team.  As a result the work environment has become toxic, especially in card for both the product team and business partners.  Lack of leadership experience, poor strategic vision and the careless approach to managing employee relations and growth has lead to a mass exodus of much of the top talent.  As a result of an weak and inexperienced leadership team it is nearly impossible to accomplish the goals that are set and it has begun to negatively impact business in a major way.  Under current leadership, especially in card, not a great environment to work in. ","Product Manager","Current Employee","Charlotte, NC","May 3, 2022","2.0"
"Descent job, work hard to meet goal","It's was a great company to work. You really have to perform in order to be considered for a promotion. There is a lot of training courses you can take to develop skills","Branch Sales and Service Representative","Former Employee","New Jersey","May 1, 2022","4.0"
"Over the last few years PNC has gone political","When I joined PNC it was a rock solid company, not sure what happened but every year they have lost focus.  We do not promote internal employees and if promoted internally you do not get a raise for up to two years after the promotion.      ","None","None","Treasury Management Systems (Current Employee)","Strongsville, OH","2.0"
"I enjoyed assisting customers and my colleagues but pay is horrible and hours are long.","A great place to help customers, stable  job security.  You will enjoy 3 weeks of vacation and paid federal holidays,  The pay is horrible and you can expect to work 6 days a week.  You. Can look foward to workin 9 hous day with a 30 minute lunch if you want a day off during the week.   The Goals are not realistic.  If you are lucky enogh to meet your goals your compensation not worth all the hard work.  Please review your paystub and make sure you receive the base pay negotiated because there's no work like balance in this position. ","Branch Banking Relationship Officer","Former Employee","Owings Mills, MD","April 29, 2022","2.0"
"Productive and fun place to work ","Very dynamic working place. One of the best place to work. Advancement opportunities there if you want. Co-workers are very co-operative. Overall a good bank to work. ","Mortgage Loan Officer","Current Employee","Washington, DC","April 29, 2022","5.0"
"Best Company I ever worked for!","Best company I have ever worked for! We even have career counseling to help you decide what direction to go and moving up is extremely easy if that is your goal.","Detection and Investigation Analyst St","Current Employee","Remote","April 28, 2022","5.0"
"Great managers","I appreciate the team I worked with. Everyone within the organization that I had the pleasure to work with were helpful. We had great managers who genuinely wanted you to succeed. ","Senior Training Specialist","Former Employee","Remote","April 26, 2022","5.0"
"I worked on the southside location  Bronzeville","I guess I got lucky my location my branch manager was the best she was really cool and good to work with our regional or district manager was a guy and he was pretty laid-back they definitely expect you to do your job and expect 100% from you but what job doesn't it was a really good work environment never had any complaints I got lucky","Teller Supervisor","Former Employee","Chicago, IL","April 26, 2022","4.0"
"Micromanagement","Management is not supportive and leans toward micromanaging. The environment is not supportive and I don't feel as if I have learned all that I can. Branch operations is not the way to go.","Teller Lead","Current Employee","Michigan","April 25, 2022","1.0"
"Not bad...","I worked at a downtown location so I had weekends off. This was nice and gave me a sense of work life balance. My branch manage and his boss seemed to care more about delegating work than doing any himself... The assistant branch manager is what made working there worth it.","Branch Banker","Former Employee","Indianapolis, IN","April 25, 2022","4.0"
"PNC Leadership is Male Dominated","If you are a woman working at PNC, you'll have less opportunity than your male peers in many groups. Leadership often took credit for subordinate's work. Leadership watched the clock and if you needed to leave 'early', even if you had worked 9-10 hours, it was frowned upon.","Assistant Vice President","Former Employee","Pittsburgh, PA","April 22, 2022","3.0"
"Productive and inclusive","Great coworkers, management is struggling but getting better every day. Training has been an issue but management is really trying to make it better since some senior people have been moving to other teams.","Operations Analyst","Current Employee","Cleveland, OH","April 22, 2022","5.0"
"Experience ","Working at PNC is a great experience but management is poor. My Colleagues are  very helpful.Training no s excellent, pressure to achieve your goals are consistent.","Branch banker","Current Employee","Alpharetta, GA","April 22, 2022","3.0"
"Pretty good salary and benefits ","Salary is higher than most customer service jobs. Benefits are good however they cannot pay me enough to deal with such rude people. The trainings could have been so much better but i feel as though we were rushed through everything to get us on the phones. There's a huge lack of communication amongst the mentors. Some say to do a job one way then others will tell you something else. You are very micromanaged ","Lending Services Representative","Former Employee","Pittsburgh, PA","April 22, 2022","2.0"
"Disappointed ","PNC wants you to believe that they truly value you as an employee... Management could use a dose of reality checks your general well-being is never considered. When I first started working for PNC tellers were given incentives for teller referrals, they took that away and didn't compensate appropriately. I'm very disappointed with this company I loved my job in the beginning and at the end I was drained and extremely unhappy. ","Lead Teller","Former Employee","Murphy, NC","April 21, 2022","1.0"
"Great Starter Job ","It's a great company to work for if you are going to school for something else or if you want to get your foot in the door with the banking world. You can move up easily but only if you are wanting to stay in the retail banking (customer facing and customer service) roles. The corporate or back office roles might require a different entrance into the company. Otherwise, go for it!","Bank Teller","Current Employee","Ahoskie, NC","April 21, 2022","5.0"
"All work no fun and hardly any breaks.","Lacks inclusion.  Employees are expected to work 7 hour shifts with only 30 minutes break. They don't care about their employees.  We are treated like machines.  No set schedule either.  My schedule changes every week so you can't make plans.  Overall I will not recommend this Bank as it's treats it's employees unfairly.","Bank Teller","Current Employee","Frederick, MD","April 20, 2022","1.0"
"Really exciting and interesting work environment where you learn a lot","Everyone there is so kind and willing to help. This was my first internship experience and everyone is so welcoming and willing to help. I would highly recommend.","Asset Management Intern","Former Employee","Pittsburgh, PA","April 20, 2022","5.0"
"You can move up within the company, management and support  is horrible","The call volume is really high, management is horrible, the call flow is so high that you can't take a breather, and when you try to reach out to support it was hard, no one wanted to take the call. I had to leave.","Customer Care Consultant","Former Employee","Ohio","April 20, 2022","3.0"
"No Work life balance and horrible pay","Does not pay well at all. Long work hours post pandemic. Incompetent managers.  Very cheap company. The pay does not match the work demanded. Benefits are nice but that's it.","Personal Banker","Former Employee","Washington, DC","April 19, 2022","1.0"
"Good pay","The expectations are very high. It is a stressful environment. Customers can be very brutal. They expect a lot from you immediately. If you have tough skin, you could work here. I personally just am too sensitive.","Customer Service Representative","Current Employee","Remote","April 19, 2022","3.0"
"Great Culture","Good Company with great benefits. They offer competitive healthcare, and both 401K & Pension. However they are little conservative on the base pay scale, as competitors offer more. Because their base pay is low, their incentive program is really great, as top producers can earn a lot. The drawback to that is that you loose a lot of new employees to competitors because it usually take a while to get your self establish and start performing at a high level to get the big incentives.  ","Business Banking Center Manager","Former Employee","Charleston, SC","April 18, 2022","4.0"
"An Alright Job","The only benefit that I should say that this company has is that the benefits are pretty decent. The pay could be better. Management is ridiculous and feel like you get no help from anyone. All about sales and numbers, not about employees.","Teller","Current Employee","Washington, DC","April 18, 2022","2.0"
"Working remotely was very convenient with decent pay ","Customer support training was minimal. Worked with customers and didn't feel like I had learned enough basic information. Management support and management that focused on job performance we're separate and this was frustrating. ","Customer Service","Former Employee","Remote","April 17, 2022","4.0"
"Training is clearly non-existent overall","Starting out, I thought it may be a decent place. I quickly learned that there is zero training overall in all departments. You call for assistance for things, get 4 different answers, no consistency at all within the company. Sick time is plentiful but when I had employees that called in for a week at a time, there was nothing I could really do aside from also do their job on top of mine, so I had to work from home most days. No breaks at all, could hardly use the restroom. Work here if you want to work yourself to death.","Branch Manager","Former Employee","Battle Creek, MI","April 16, 2022","1.0"
"Great Benefits but so much cold calling","I really enjoy working for my branch! My coworkers and I respect one another. I enjoy working with our customers even with the occasional rude client here and there. However, they push cold calls alot and some of the sales goals just don't seem attainable. They offer great benefits and I do feel like I am paid adequately. ","Branch Banker","Current Employee","Avon, IN","April 13, 2022","4.0"
"Overall pretty stable job","Too much waterfall like project and not following agile methodology. Also career advanced seems difficult. Based on the market, recently they have made a change to increase salary of workers a lot more than the past and hope they can keep this up","QA Software Engineer","Current Employee","Remote","April 13, 2022","4.0"
"Employee at PNC","Unless you were a favorite in that branch or if you have kids you are treated differently people who have kids are allowed to call in whenever they want to or leave whenever they want to. Also some people are allowed to break policy over others again if your favorite you get away with it","Branch Banker","Former Employee","Logansport, IN","April 12, 2022","1.0"
"Supportive work place with growth opportunities and amazing work life balance ","Always feel appreciated in my work. However the pay does not fairly reflect job responsibility and requirements. Great vacation and PTO incentives. Benefits could be better, but they seem to be competitive across corporations. ","Retail Branch Manager","Former Employee","Pittsburgh, PA","April 12, 2022","5.0"
"A lot depends on your own mental attitude","Day in the Life, taking calls from regular consumers about ckg and savings, debit cards, overdrafts. Online banking calls:  unlock, explain to people what a browser is or how to close a window. Time goes fast, calls are varied. Worst part is daily reports about how you take too long by so-many-seconds on average, per call. You just have to enjoy helping people and realize you're doing just fine. Sometimes that's harder than others. ","Customer Service Rep II","Former Employee","Illinois","April 11, 2022","4.0"
"I used to love this job, but things have gotten tough.","I started at PNC a few years ago and moved up pretty quickly after snagging a few promotions. I used to love this job, but find it getting harder everyday to get up and do my best. I feel like since the merger in 2021, we've been on a very difficult path to recovery and not much is being done to help the front line staff answering customer questions and complaints. We went from being busy (1-2 minute call wait times) to exceptionally busy (customers are waiting 30 minutes to an hour before an agent is able to help). Since the turn of the year, this has not been getting better. PNC has tried to help some of these people by raising the minimum wage company-wide. While that did help some newer people, a lot of us got stuck with little to nothing in terms of a rate increase. While it MAY get back to normal in the next few months it has been pretty terrible from October 2021 to the current date. I am getting very demotivated and am seeking other opportunities outside the company. Other jobs are out there that pay more for this type of work.","Financial Services Consultant","Current Employee","Remote","April 11, 2022","3.0"
"Good place to work.","Great place to learn new things.Supportive in learning new technolgies.Lots of free online training.Good payUnrealistic goals sometimes.Management wants to be agile but still hard dates for deliveries.Overall its aged company though. ","QA Architect","Current Employee","Pittsburgh, PA","April 11, 2022","4.0"
"Productive and exciting workplace ","This job has been a great position during the pandemic to work at and I had a good time with my staff and managers. I support anyone that wants to work here","Teller","Former Employee","Normal, IL","April 11, 2022","5.0"
"Fast-paced, poor work/life balance but good people","Days are fast paced with too much time fixing problems resulting from poor leadership communication.  Co-workers are wonderful but can only maintain positivity so long. ","Project Manager","Former Employee","Pittsburgh, PA","April 10, 2022","3.0"
"Good place to work, bad pay","They need better training and pay. They seem to pay less the more I worked there. Their transition from BBVA was not easy and I feel like they could have communicated better to employees but especially the clients.","Bank Teller","Former Employee","Raleigh, NC","April 8, 2022","4.0"
"Good Life/work Balance ","PNC is a good company to work for.  They care about life/work balance and allow flexible start times.  Employee Engagement is also important to the company.","Project Manager","Current Employee","Pittsburgh, PA","April 7, 2022","4.0"
"Great job especially after the new raise for tellers! ","Great place to get your foot in the door especially after graduating highschool. It offers all the office type work experience needed to Excell in any other type of office job setting with good pay for all entry level positions. ","Bank Teller","Current Employee","Saginaw, MI","April 6, 2022","3.0"
"Good Company Culture","Lots of room for growth, however internal candidates are only given the opportunity for 10% raises. The compensation leaves much to be desired: I've actually heard a number of people I'm different lines of business leave the organization for better pay and then return to PNC using their current salary with the other organization as leverage. ","Learning Facilitator","Current Employee","Remote","April 6, 2022","4.0"
"Do not recommend ","Training is not clear, once on the floor, what was said in training is now completely different from what you'll actually be doing.QA also rigid- dinged for items that you were told were the correct way/steps when in training.","Hazard Insurance Processor","Former Employee","Jacksonville, FL","April 5, 2022","1.0"
"Nice place to work","It is a very good place to work to start up and have a start up career. Also a good college student job because of pay and hours. Customers can be iffy","Teller","Current Employee","Ann Arbor, MI","April 5, 2022","5.0"
"Decent place to work but lower on salaries","PNC is an all right place to work. They heavily focus on technology. Some managers were terrible and straight up rude to employees. Compensation is okay.","Customer Service Representative","Former Employee","Pittsburgh, PA","April 1, 2022","3.0"
"Productive and fun place to work. Compensation is lacking.","PNC banknisngreat place to work in terms of workload. Not so much at first butbgetting better now. Coworkers are great but the work can get a bit boring and repetitive.","Compliance Specialist","Former Employee","Remote","March 30, 2022","4.0"
"Great benefits but...","They need better training and pay. They seem to pay less the more I worked there. Their transition from BBVA was not easy and I feel like they could have communicated better to employees but especially the clients. ","Universal Banker","Former Employee","Dallas, TX","March 30, 2022","3.0"
"Good pay redundant paperwork","The pay is good. It is hard to get some days off due to the only one person out of the branch policy. A lot of having to input the same info into different systems to recieve proper credit. A lot is expected from you in a day but there never seems to be enough time to get it done. ","Teller","Current Employee","Pensacola, FL","March 29, 2022","3.0"
"The PNC Board needs to reexamine the Leadership!","PNC has turned management into a team of babysitters that only recognize what the team is doing wrong. Never a 'good job' or 'great progress' and more importantly 'THANK YOU'.  Leaders address those who are not performing individually. I am sick of hearing how the team failed when I meet all of my goals! The majority of people are working long hours, training is practically non-existent or sporadic at best, we are told to reduce errors and take our time and the next day to pick up extra work and get it done faster (while constantly training due to turnover because we have no formal department training program). Can't you manage the company while retaining and keeping your employees semi-happy at their workplace? Also, it is sickening to read what the Executives receive in yearly stock options/bonuses,  your yearly salary is already more than my whole department combined! I understand the dynamics and responsibilities on your shoulders but you have turned extremely greedy while watching the staff figure out how they are going to feed their family/or pay for parking on their meager salary. I will obtain my degree in 2 months, I doubt my manager even remembers, and like some others, I am looking for a job that appreciates and rewards me for my work ethic and loyalty as well as my desire to assist others while independently striving to grow myself. Audios!","Operations","Former Employee","Pittsburgh, PA","March 28, 2022","2.0"
"Slow paced","Slow Paced, good if you're in one of the lending teams. Less Devs with lot of agile people which is self explanatory as a mid level bank. Low compensation ","Software Developer","Current Employee","Remote","March 28, 2022","3.0"
"Could be a great environment with better management","Abysmal management that on morning meanings would tell us 'Sometimes the best work is work we don't get paid for'. Horrid work/life balance, decent pay but not for the amount of stress","Teller","Current Employee","West Palm Beach, FL","March 28, 2022","1.0"
