review_id,role,status,location,date,rating,combined_text,sentences,sentiment,sentence_id
3,Branch Manager,Former Employee,Florida,06/01/2022,2.0,"Stressful. Banking as a whole has become an awful industry to work in. Large corporations still using old school tactics to bring in sales. Corporate yuppies don't understand that pounding pavement to attract sales is not an effective sales method. Furthermore, the manager is tied up in meetings all day that get in the way of managing, which leaves little time to get anything done. ","Furthermore, the manager is tied up in meetings all day that get in the way of managing, which leaves little time to get anything done.","{'label': 'NEGATIVE', 'score': 0.9983875751495361}",10
4,Executive Client Relations,Former Employee,OH,06/01/2022,3.0,"Micromanaged and very little room for growth. I worked for this bank for about 10 years and every stop was a non existent budget for raises, positions that continue to expand with compensation to match. Find a better company if growth and development are your thing.",Micromanaged and very little room for growth.,"{'label': 'NEGATIVE', 'score': 0.9995236396789551}",11
4,Executive Client Relations,Former Employee,OH,06/01/2022,3.0,"Micromanaged and very little room for growth. I worked for this bank for about 10 years and every stop was a non existent budget for raises, positions that continue to expand with compensation to match. Find a better company if growth and development are your thing.","I worked for this bank for about 10 years and every stop was a non existent budget for raises, positions that continue to expand with compensation to match.","{'label': 'NEGATIVE', 'score': 0.9801198840141296}",12
4,Executive Client Relations,Former Employee,OH,06/01/2022,3.0,"Micromanaged and very little room for growth. I worked for this bank for about 10 years and every stop was a non existent budget for raises, positions that continue to expand with compensation to match. Find a better company if growth and development are your thing.",Find a better company if growth and development are your thing.,"{'label': 'NEGATIVE', 'score': 0.9985707998275757}",13
5,Customer Service Representative,Former Employee,"Kalamazoo, MI",06/01/2022,1.0,Stressful environment . Core service consultant. This place is essentially a phone factory where management offers little assistance and expects associates to take back to back phone calls all day.,Stressful environment .,"{'label': 'POSITIVE', 'score': 0.9964587092399597}",14
5,Customer Service Representative,Former Employee,"Kalamazoo, MI",06/01/2022,1.0,Stressful environment . Core service consultant. This place is essentially a phone factory where management offers little assistance and expects associates to take back to back phone calls all day.,Core service consultant.,"{'label': 'POSITIVE', 'score': 0.9972303509712219}",15
5,Customer Service Representative,Former Employee,"Kalamazoo, MI",06/01/2022,1.0,Stressful environment . Core service consultant. This place is essentially a phone factory where management offers little assistance and expects associates to take back to back phone calls all day.,This place is essentially a phone factory where management offers little assistance and expects associates to take back to back phone calls all day.,"{'label': 'NEGATIVE', 'score': 0.9997615218162537}",16
6,Branch Banker,Former Employee,"Dallas, TX",05/30/2022,5.0,Productive . It is a good place to work with management who cares to see you succeed. Some banks micro manage but this one doesn't. this bank also really cares about your benefits ,Productive .,"{'label': 'POSITIVE', 'score': 0.9998712539672852}",17
6,Branch Banker,Former Employee,"Dallas, TX",05/30/2022,5.0,Productive . It is a good place to work with management who cares to see you succeed. Some banks micro manage but this one doesn't. this bank also really cares about your benefits ,It is a good place to work with management who cares to see you succeed.,"{'label': 'POSITIVE', 'score': 0.9998372793197632}",18
6,Branch Banker,Former Employee,"Dallas, TX",05/30/2022,5.0,Productive . It is a good place to work with management who cares to see you succeed. Some banks micro manage but this one doesn't. this bank also really cares about your benefits ,Some banks micro manage but this one doesn't.,"{'label': 'NEGATIVE', 'score': 0.9920161962509155}",19
6,Branch Banker,Former Employee,"Dallas, TX",05/30/2022,5.0,Productive . It is a good place to work with management who cares to see you succeed. Some banks micro manage but this one doesn't. this bank also really cares about your benefits ,this one also really cares about your benefits,"{'label': 'POSITIVE', 'score': 0.9993404746055603}",20
7,Sr Mortgage Loan Originator,Current Employee,"Downers Grove, IL",05/29/2022,2.0,"Every year they cut your pay. Every year they expect you to work 20% harder for 20% less. There is no future of growth for you as an MLO. Management makes poor decisions, but you as the employee shoulder the burden for it. They don't hire the staff when the market is hot, and they then overcompensate by hiring too much, and don't see the market changing. Currently, their idea of fixing the market downturn is for you to call dead end phone numbers of existing customers in their data base. Then the Master Plan is to automate MLOs out of their jobs as much as possible to assure future cuts in MLO pay.",Every year they cut your pay.,"{'label': 'NEGATIVE', 'score': 0.9973247051239014}",21
7,Sr Mortgage Loan Originator,Current Employee,"Downers Grove, IL",05/29/2022,2.0,"Every year they cut your pay. Every year they expect you to work 20% harder for 20% less. There is no future of growth for you as an MLO. Management makes poor decisions, but you as the employee shoulder the burden for it. They don't hire the staff when the market is hot, and they then overcompensate by hiring too much, and don't see the market changing. Currently, their idea of fixing the market downturn is for you to call dead end phone numbers of existing customers in their data base. Then the Master Plan is to automate MLOs out of their jobs as much as possible to assure future cuts in MLO pay.",Every year they expect you to work 20% harder for 20% less.,"{'label': 'NEGATIVE', 'score': 0.9980587363243103}",22
7,Sr Mortgage Loan Originator,Current Employee,"Downers Grove, IL",05/29/2022,2.0,"Every year they cut your pay. Every year they expect you to work 20% harder for 20% less. There is no future of growth for you as an MLO. Management makes poor decisions, but you as the employee shoulder the burden for it. They don't hire the staff when the market is hot, and they then overcompensate by hiring too much, and don't see the market changing. Currently, their idea of fixing the market downturn is for you to call dead end phone numbers of existing customers in their data base. Then the Master Plan is to automate MLOs out of their jobs as much as possible to assure future cuts in MLO pay.",There is no future of growth for you as an MLO.,"{'label': 'NEGATIVE', 'score': 0.9997734427452087}",23
7,Sr Mortgage Loan Originator,Current Employee,"Downers Grove, IL",05/29/2022,2.0,"Every year they cut your pay. Every year they expect you to work 20% harder for 20% less. There is no future of growth for you as an MLO. Management makes poor decisions, but you as the employee shoulder the burden for it. They don't hire the staff when the market is hot, and they then overcompensate by hiring too much, and don't see the market changing. Currently, their idea of fixing the market downturn is for you to call dead end phone numbers of existing customers in their data base. Then the Master Plan is to automate MLOs out of their jobs as much as possible to assure future cuts in MLO pay.","Management makes poor decisions, but you as the employee shoulder the burden for Management.","{'label': 'NEGATIVE', 'score': 0.98165363073349}",24
7,Sr Mortgage Loan Originator,Current Employee,"Downers Grove, IL",05/29/2022,2.0,"Every year they cut your pay. Every year they expect you to work 20% harder for 20% less. There is no future of growth for you as an MLO. Management makes poor decisions, but you as the employee shoulder the burden for it. They don't hire the staff when the market is hot, and they then overcompensate by hiring too much, and don't see the market changing. Currently, their idea of fixing the market downturn is for you to call dead end phone numbers of existing customers in their data base. Then the Master Plan is to automate MLOs out of their jobs as much as possible to assure future cuts in MLO pay.","Management don't hire the staff when the market is hot, and Management then overcompensate by hiring too much, and don't see the market changing.","{'label': 'NEGATIVE', 'score': 0.9986853003501892}",25
7,Sr Mortgage Loan Originator,Current Employee,"Downers Grove, IL",05/29/2022,2.0,"Every year they cut your pay. Every year they expect you to work 20% harder for 20% less. There is no future of growth for you as an MLO. Management makes poor decisions, but you as the employee shoulder the burden for it. They don't hire the staff when the market is hot, and they then overcompensate by hiring too much, and don't see the market changing. Currently, their idea of fixing the market downturn is for you to call dead end phone numbers of existing customers in their data base. Then the Master Plan is to automate MLOs out of their jobs as much as possible to assure future cuts in MLO pay.","Currently, Management's idea of fixing the market downturn is for you to call dead end phone numbers of existing customers in Management's data base.","{'label': 'NEGATIVE', 'score': 0.9974830746650696}",26
7,Sr Mortgage Loan Originator,Current Employee,"Downers Grove, IL",05/29/2022,2.0,"Every year they cut your pay. Every year they expect you to work 20% harder for 20% less. There is no future of growth for you as an MLO. Management makes poor decisions, but you as the employee shoulder the burden for it. They don't hire the staff when the market is hot, and they then overcompensate by hiring too much, and don't see the market changing. Currently, their idea of fixing the market downturn is for you to call dead end phone numbers of existing customers in their data base. Then the Master Plan is to automate MLOs out of their jobs as much as possible to assure future cuts in MLO pay.",Then the Master Plan is to automate MLOs out of MLOs's jobs as much as possible to assure future cuts in MLO pay.,"{'label': 'NEGATIVE', 'score': 0.9982422590255737}",27
8,Data Entry Clerk,Former Employee,8800 Tinicum Blvd. Phila.PA. 19153,05/28/2022,4.0,"I learned a lot on the job It was a good experience..  Working the evening shift was a plus for me at the time I worked in their corporate office working on various bank documents. This helped me learn more about how the banking business worked, more about how checks and other items were recorded and verified. I learned how the bank process is handled. I had no problem with My manager or supervisor. The workplace was culture. The job was easy nothing was hard about the Job. Working as a team player and keeping busy. ",I learned a lot on the job the job was a good experience..  ,"{'label': 'POSITIVE', 'score': 0.9993512034416199}",28
8,Data Entry Clerk,Former Employee,8800 Tinicum Blvd. Phila.PA. 19153,05/28/2022,4.0,"I learned a lot on the job It was a good experience..  Working the evening shift was a plus for me at the time I worked in their corporate office working on various bank documents. This helped me learn more about how the banking business worked, more about how checks and other items were recorded and verified. I learned how the bank process is handled. I had no problem with My manager or supervisor. The workplace was culture. The job was easy nothing was hard about the Job. Working as a team player and keeping busy. ",Working the evening shift was a plus for me at the time I worked in their corporate office working on various bank documents.,"{'label': 'POSITIVE', 'score': 0.979953408241272}",29
8,Data Entry Clerk,Former Employee,8800 Tinicum Blvd. Phila.PA. 19153,05/28/2022,4.0,"I learned a lot on the job It was a good experience..  Working the evening shift was a plus for me at the time I worked in their corporate office working on various bank documents. This helped me learn more about how the banking business worked, more about how checks and other items were recorded and verified. I learned how the bank process is handled. I had no problem with My manager or supervisor. The workplace was culture. The job was easy nothing was hard about the Job. Working as a team player and keeping busy. ","This helped me learn more about how the banking business worked, more about how checks and other items were recorded and verified.","{'label': 'POSITIVE', 'score': 0.9912285804748535}",30
8,Data Entry Clerk,Former Employee,8800 Tinicum Blvd. Phila.PA. 19153,05/28/2022,4.0,"I learned a lot on the job It was a good experience..  Working the evening shift was a plus for me at the time I worked in their corporate office working on various bank documents. This helped me learn more about how the banking business worked, more about how checks and other items were recorded and verified. I learned how the bank process is handled. I had no problem with My manager or supervisor. The workplace was culture. The job was easy nothing was hard about the Job. Working as a team player and keeping busy. ",I learned how the bank process is handled.,"{'label': 'POSITIVE', 'score': 0.9231899380683899}",31
8,Data Entry Clerk,Former Employee,8800 Tinicum Blvd. Phila.PA. 19153,05/28/2022,4.0,"I learned a lot on the job It was a good experience..  Working the evening shift was a plus for me at the time I worked in their corporate office working on various bank documents. This helped me learn more about how the banking business worked, more about how checks and other items were recorded and verified. I learned how the bank process is handled. I had no problem with My manager or supervisor. The workplace was culture. The job was easy nothing was hard about the Job. Working as a team player and keeping busy. ",I had no problem with My manager or supervisor.,"{'label': 'POSITIVE', 'score': 0.9958090782165527}",32
8,Data Entry Clerk,Former Employee,8800 Tinicum Blvd. Phila.PA. 19153,05/28/2022,4.0,"I learned a lot on the job It was a good experience..  Working the evening shift was a plus for me at the time I worked in their corporate office working on various bank documents. This helped me learn more about how the banking business worked, more about how checks and other items were recorded and verified. I learned how the bank process is handled. I had no problem with My manager or supervisor. The workplace was culture. The job was easy nothing was hard about the Job. Working as a team player and keeping busy. ",The workplace was culture.,"{'label': 'POSITIVE', 'score': 0.9942386150360107}",33
8,Data Entry Clerk,Former Employee,8800 Tinicum Blvd. Phila.PA. 19153,05/28/2022,4.0,"I learned a lot on the job It was a good experience..  Working the evening shift was a plus for me at the time I worked in their corporate office working on various bank documents. This helped me learn more about how the banking business worked, more about how checks and other items were recorded and verified. I learned how the bank process is handled. I had no problem with My manager or supervisor. The workplace was culture. The job was easy nothing was hard about the Job. Working as a team player and keeping busy. ",the job was easy nothing was hard about the job.,"{'label': 'POSITIVE', 'score': 0.9959553480148315}",34
8,Data Entry Clerk,Former Employee,8800 Tinicum Blvd. Phila.PA. 19153,05/28/2022,4.0,"I learned a lot on the job It was a good experience..  Working the evening shift was a plus for me at the time I worked in their corporate office working on various bank documents. This helped me learn more about how the banking business worked, more about how checks and other items were recorded and verified. I learned how the bank process is handled. I had no problem with My manager or supervisor. The workplace was culture. The job was easy nothing was hard about the Job. Working as a team player and keeping busy. ",Working as a team player and keeping busy.,"{'label': 'POSITIVE', 'score': 0.9880079030990601}",35
9,Teller Representative,Current Employee,"Port Saint Lucie, FL",05/27/2022,1.0,I have a lot to say about this company but it's pointless …. poor management and your work like balance is never going to be 'a balance ' but I'm just one person but this bank isn't all bad /amazing benefit are good .,I have a lot to say about this company but it's pointless ….,"{'label': 'NEGATIVE', 'score': 0.9997791647911072}",36
9,Teller Representative,Current Employee,"Port Saint Lucie, FL",05/27/2022,1.0,I have a lot to say about this company but it's pointless …. poor management and your work like balance is never going to be 'a balance ' but I'm just one person but this bank isn't all bad /amazing benefit are good .,poor management and your work like balance is never going to be 'a balance ',"{'label': 'NEGATIVE', 'score': 0.9996743202209473}",37
9,Teller Representative,Current Employee,"Port Saint Lucie, FL",05/27/2022,1.0,I have a lot to say about this company but it's pointless …. poor management and your work like balance is never going to be 'a balance ' but I'm just one person but this bank isn't all bad /amazing benefit are good .,but I'm just one person but this company isn't all bad /amazing benefit are good .,"{'label': 'POSITIVE', 'score': 0.996724545955658}",38
10,Sr Branch Manager,Former Employee,"Jacksonville, FL",05/27/2022,1.0,Worst place to work. No work life balance. Outdated systems. Extreme Micromanaging. They watch you by cameras and then open investigations based on assumptions. You don't have control over your branch and no ability to waive fees for good clients! If you need to step out of the branch and have worked over 40 hours they still make you use your occasional absence! The Regional Manager could not even understand that goes against Florida Law! this bank wants you to just be a micromanaging robot! Clients are just another person and they say they are about relationship building but their actions do not show it! I received a job offer for 20k more with a much better Financial Institution that truly values their employees and clients! ,Worst place to work.,"{'label': 'NEGATIVE', 'score': 0.9997804760932922}",39
10,Sr Branch Manager,Former Employee,"Jacksonville, FL",05/27/2022,1.0,Worst place to work. No work life balance. Outdated systems. Extreme Micromanaging. They watch you by cameras and then open investigations based on assumptions. You don't have control over your branch and no ability to waive fees for good clients! If you need to step out of the branch and have worked over 40 hours they still make you use your occasional absence! The Regional Manager could not even understand that goes against Florida Law! this bank wants you to just be a micromanaging robot! Clients are just another person and they say they are about relationship building but their actions do not show it! I received a job offer for 20k more with a much better Financial Institution that truly values their employees and clients! ,No work life balance.,"{'label': 'NEGATIVE', 'score': 0.9997417330741882}",40
10,Sr Branch Manager,Former Employee,"Jacksonville, FL",05/27/2022,1.0,Worst place to work. No work life balance. Outdated systems. Extreme Micromanaging. They watch you by cameras and then open investigations based on assumptions. You don't have control over your branch and no ability to waive fees for good clients! If you need to step out of the branch and have worked over 40 hours they still make you use your occasional absence! The Regional Manager could not even understand that goes against Florida Law! this bank wants you to just be a micromanaging robot! Clients are just another person and they say they are about relationship building but their actions do not show it! I received a job offer for 20k more with a much better Financial Institution that truly values their employees and clients! ,Outdated systems.,"{'label': 'NEGATIVE', 'score': 0.999817430973053}",41
10,Sr Branch Manager,Former Employee,"Jacksonville, FL",05/27/2022,1.0,Worst place to work. No work life balance. Outdated systems. Extreme Micromanaging. They watch you by cameras and then open investigations based on assumptions. You don't have control over your branch and no ability to waive fees for good clients! If you need to step out of the branch and have worked over 40 hours they still make you use your occasional absence! The Regional Manager could not even understand that goes against Florida Law! this bank wants you to just be a micromanaging robot! Clients are just another person and they say they are about relationship building but their actions do not show it! I received a job offer for 20k more with a much better Financial Institution that truly values their employees and clients! ,Extreme Micromanaging.,"{'label': 'NEGATIVE', 'score': 0.996320366859436}",42
10,Sr Branch Manager,Former Employee,"Jacksonville, FL",05/27/2022,1.0,Worst place to work. No work life balance. Outdated systems. Extreme Micromanaging. They watch you by cameras and then open investigations based on assumptions. You don't have control over your branch and no ability to waive fees for good clients! If you need to step out of the branch and have worked over 40 hours they still make you use your occasional absence! The Regional Manager could not even understand that goes against Florida Law! this bank wants you to just be a micromanaging robot! Clients are just another person and they say they are about relationship building but their actions do not show it! I received a job offer for 20k more with a much better Financial Institution that truly values their employees and clients! ,this bank watch you by cameras and then open investigations based on assumptions.,"{'label': 'NEGATIVE', 'score': 0.9826245903968811}",43
10,Sr Branch Manager,Former Employee,"Jacksonville, FL",05/27/2022,1.0,Worst place to work. No work life balance. Outdated systems. Extreme Micromanaging. They watch you by cameras and then open investigations based on assumptions. You don't have control over your branch and no ability to waive fees for good clients! If you need to step out of the branch and have worked over 40 hours they still make you use your occasional absence! The Regional Manager could not even understand that goes against Florida Law! this bank wants you to just be a micromanaging robot! Clients are just another person and they say they are about relationship building but their actions do not show it! I received a job offer for 20k more with a much better Financial Institution that truly values their employees and clients! ,You don't have control over your branch and no ability to waive fees for good clients!,"{'label': 'NEGATIVE', 'score': 0.999629020690918}",44
10,Sr Branch Manager,Former Employee,"Jacksonville, FL",05/27/2022,1.0,Worst place to work. No work life balance. Outdated systems. Extreme Micromanaging. They watch you by cameras and then open investigations based on assumptions. You don't have control over your branch and no ability to waive fees for good clients! If you need to step out of the branch and have worked over 40 hours they still make you use your occasional absence! The Regional Manager could not even understand that goes against Florida Law! this bank wants you to just be a micromanaging robot! Clients are just another person and they say they are about relationship building but their actions do not show it! I received a job offer for 20k more with a much better Financial Institution that truly values their employees and clients! ,If you need to step out of the branch and have worked over 40 hours this bank still make you use your occasional absence!,"{'label': 'NEGATIVE', 'score': 0.9909753203392029}",45
10,Sr Branch Manager,Former Employee,"Jacksonville, FL",05/27/2022,1.0,Worst place to work. No work life balance. Outdated systems. Extreme Micromanaging. They watch you by cameras and then open investigations based on assumptions. You don't have control over your branch and no ability to waive fees for good clients! If you need to step out of the branch and have worked over 40 hours they still make you use your occasional absence! The Regional Manager could not even understand that goes against Florida Law! this bank wants you to just be a micromanaging robot! Clients are just another person and they say they are about relationship building but their actions do not show it! I received a job offer for 20k more with a much better Financial Institution that truly values their employees and clients! ,The Regional Manager could not even understand that goes against Florida Law!,"{'label': 'NEGATIVE', 'score': 0.9850136637687683}",46
10,Sr Branch Manager,Former Employee,"Jacksonville, FL",05/27/2022,1.0,Worst place to work. No work life balance. Outdated systems. Extreme Micromanaging. They watch you by cameras and then open investigations based on assumptions. You don't have control over your branch and no ability to waive fees for good clients! If you need to step out of the branch and have worked over 40 hours they still make you use your occasional absence! The Regional Manager could not even understand that goes against Florida Law! this bank wants you to just be a micromanaging robot! Clients are just another person and they say they are about relationship building but their actions do not show it! I received a job offer for 20k more with a much better Financial Institution that truly values their employees and clients! ,this bank wants you to just be a micromanaging robot!,"{'label': 'NEGATIVE', 'score': 0.9993420243263245}",47
10,Sr Branch Manager,Former Employee,"Jacksonville, FL",05/27/2022,1.0,Worst place to work. No work life balance. Outdated systems. Extreme Micromanaging. They watch you by cameras and then open investigations based on assumptions. You don't have control over your branch and no ability to waive fees for good clients! If you need to step out of the branch and have worked over 40 hours they still make you use your occasional absence! The Regional Manager could not even understand that goes against Florida Law! this bank wants you to just be a micromanaging robot! Clients are just another person and they say they are about relationship building but their actions do not show it! I received a job offer for 20k more with a much better Financial Institution that truly values their employees and clients! ,Clients are just another person and this bank say this bank are about relationship building but this bank's actions do not show it!,"{'label': 'NEGATIVE', 'score': 0.9990283250808716}",48
10,Sr Branch Manager,Former Employee,"Jacksonville, FL",05/27/2022,1.0,Worst place to work. No work life balance. Outdated systems. Extreme Micromanaging. They watch you by cameras and then open investigations based on assumptions. You don't have control over your branch and no ability to waive fees for good clients! If you need to step out of the branch and have worked over 40 hours they still make you use your occasional absence! The Regional Manager could not even understand that goes against Florida Law! this bank wants you to just be a micromanaging robot! Clients are just another person and they say they are about relationship building but their actions do not show it! I received a job offer for 20k more with a much better Financial Institution that truly values their employees and clients! ,I received a job offer for 20k more with a much better Financial Institution that truly values a much better Financial Institution that truly values their employees and clients's employees and clients!,"{'label': 'POSITIVE', 'score': 0.9800087213516235}",49
11,Banker,Former Employee,"Paw Paw, MI",05/26/2022,2.0,"It'll do, but it kind of sucks. When I started at this bank I was really excited and energized. I had heard a lot about the opportunities this bank offers. That part is true, they have a lot of different departments you can train in and growth opportunities. The downside is you do have to stay an entire year in your current position before you can apply for a different one. So if you hate the area you're working in you better be able to suck it up for 12 months. They do their best to have life/work balance and are big on employees quality of life. However, if you work in a physical branch, you will not be trained. I moved from the care center to the branch and was put in an office for 4 months to train myself. I made countless mistakes every single day due to lack of resources and training. They use outdated software that is extremely hard to navigate and crashes constantly. I got fired for something small, it was my fault, but a writeup may have been a good first step as I had never had a red mark. The people I worked with were great but you could tell how much they hated their jobs. The end of my career with this bank I was extremely burned out and stressed. If you want to be overworked and work 6 days a week twice a month, this bank would be for you. ","It'll do, but it kind of sucks.","{'label': 'NEGATIVE', 'score': 0.980346143245697}",50
11,Banker,Former Employee,"Paw Paw, MI",05/26/2022,2.0,"It'll do, but it kind of sucks. When I started at this bank I was really excited and energized. I had heard a lot about the opportunities this bank offers. That part is true, they have a lot of different departments you can train in and growth opportunities. The downside is you do have to stay an entire year in your current position before you can apply for a different one. So if you hate the area you're working in you better be able to suck it up for 12 months. They do their best to have life/work balance and are big on employees quality of life. However, if you work in a physical branch, you will not be trained. I moved from the care center to the branch and was put in an office for 4 months to train myself. I made countless mistakes every single day due to lack of resources and training. They use outdated software that is extremely hard to navigate and crashes constantly. I got fired for something small, it was my fault, but a writeup may have been a good first step as I had never had a red mark. The people I worked with were great but you could tell how much they hated their jobs. The end of my career with this bank I was extremely burned out and stressed. If you want to be overworked and work 6 days a week twice a month, this bank would be for you. ",When I started at this bank I was really excited and energized.,"{'label': 'POSITIVE', 'score': 0.9995855689048767}",51
11,Banker,Former Employee,"Paw Paw, MI",05/26/2022,2.0,"It'll do, but it kind of sucks. When I started at this bank I was really excited and energized. I had heard a lot about the opportunities this bank offers. That part is true, they have a lot of different departments you can train in and growth opportunities. The downside is you do have to stay an entire year in your current position before you can apply for a different one. So if you hate the area you're working in you better be able to suck it up for 12 months. They do their best to have life/work balance and are big on employees quality of life. However, if you work in a physical branch, you will not be trained. I moved from the care center to the branch and was put in an office for 4 months to train myself. I made countless mistakes every single day due to lack of resources and training. They use outdated software that is extremely hard to navigate and crashes constantly. I got fired for something small, it was my fault, but a writeup may have been a good first step as I had never had a red mark. The people I worked with were great but you could tell how much they hated their jobs. The end of my career with this bank I was extremely burned out and stressed. If you want to be overworked and work 6 days a week twice a month, this bank would be for you. ",I had heard a lot about the opportunities this bank offers.,"{'label': 'POSITIVE', 'score': 0.9891461133956909}",52
11,Banker,Former Employee,"Paw Paw, MI",05/26/2022,2.0,"It'll do, but it kind of sucks. When I started at this bank I was really excited and energized. I had heard a lot about the opportunities this bank offers. That part is true, they have a lot of different departments you can train in and growth opportunities. The downside is you do have to stay an entire year in your current position before you can apply for a different one. So if you hate the area you're working in you better be able to suck it up for 12 months. They do their best to have life/work balance and are big on employees quality of life. However, if you work in a physical branch, you will not be trained. I moved from the care center to the branch and was put in an office for 4 months to train myself. I made countless mistakes every single day due to lack of resources and training. They use outdated software that is extremely hard to navigate and crashes constantly. I got fired for something small, it was my fault, but a writeup may have been a good first step as I had never had a red mark. The people I worked with were great but you could tell how much they hated their jobs. The end of my career with this bank I was extremely burned out and stressed. If you want to be overworked and work 6 days a week twice a month, this bank would be for you. ","That part is true, this bank have a lot of different departments you can train in and growth opportunities.","{'label': 'POSITIVE', 'score': 0.9998441934585571}",53
11,Banker,Former Employee,"Paw Paw, MI",05/26/2022,2.0,"It'll do, but it kind of sucks. When I started at this bank I was really excited and energized. I had heard a lot about the opportunities this bank offers. That part is true, they have a lot of different departments you can train in and growth opportunities. The downside is you do have to stay an entire year in your current position before you can apply for a different one. So if you hate the area you're working in you better be able to suck it up for 12 months. They do their best to have life/work balance and are big on employees quality of life. However, if you work in a physical branch, you will not be trained. I moved from the care center to the branch and was put in an office for 4 months to train myself. I made countless mistakes every single day due to lack of resources and training. They use outdated software that is extremely hard to navigate and crashes constantly. I got fired for something small, it was my fault, but a writeup may have been a good first step as I had never had a red mark. The people I worked with were great but you could tell how much they hated their jobs. The end of my career with this bank I was extremely burned out and stressed. If you want to be overworked and work 6 days a week twice a month, this bank would be for you. ",The downside is you do have to stay an entire year in your current position before you can apply for a different one.,"{'label': 'NEGATIVE', 'score': 0.9980851411819458}",54
