sentence_id,__TAGS,GT,date,location,rating,review_id,review_title,role,span_text,status,Classification,Confidence,ASPECT,OPINION,HUMAN_SENTIMENT
10,multi-label,Work Life Balance,4/23/2019,"Cleveland, OH",2,1616,"Tactical, next flashy thing management style",Operations Specialist,Management speaks of work/life balance as something that will come in the years to come if we work hard today.,Current Employee,Neutral,0.574,management,,Negative
11,,Work Life Balance,4/4/2019,"Downers Grove, IL",5,1666,Work Life Balance,Remote,"I loved working for this place, great company promoted work life balance, And  allowed me to  work remotely. ",Former Employee,Positive,0.988,work life balance,great company,
11,,Work Life Balance,4/4/2019,"Downers Grove, IL",5,1666,Work Life Balance,Remote,"I loved working for this place, great company promoted work life balance, And  allowed me to  work remotely. ",Former Employee,Positive,0.988,company,,
11,,Work Life Balance,4/4/2019,"Downers Grove, IL",5,1666,Work Life Balance,Remote,"I loved working for this place, great company promoted work life balance, And  allowed me to  work remotely. ",Former Employee,Positive,0.988,place,,
11,,Work Life Balance,4/4/2019,"Downers Grove, IL",5,1666,Work Life Balance,Remote,"I loved working for this place, great company promoted work life balance, And  allowed me to  work remotely. ",Former Employee,Positive,0.988,work,,
12,,Work Life Balance,3/19/2019,"Eastwick, PA",4,1707,decent company,TAX ANALYST,"not bad to work for, and work life balance is nice. ",Current Employee,Positive,0.992,life balance,nice life balance,
12,,Work Life Balance,3/19/2022,"Eastwick, PA",4,1707,decent company,TAX ANALYST,"not bad to work for, and work life balance is nice. ",Current Employee,Positive,0.992,bad to work,,
13,,Work Life Balance,3/16/2019,"Pittsburgh, PA",4,1715,Flexible work arrangement benefits rescinded,Business Analytics Consultant,Some departments have taken away and/or limited flexible work arrangement benefits that has lead to a mass exit of longtime employees which has severely affected morale,Current Employee,Negative,0.83,department,flexible work arrangement benefit,
13,,Work Life Balance,3/16/2019,"Pittsburgh, PA",4,1715,Flexible work arrangement benefits rescinded,Business Analytics Consultant,Some departments have taken away and/or limited flexible work arrangement benefits that has lead to a mass exit of longtime employees which has severely affected morale,Current Employee,Negative,0.83,work arrangement benefit,affected morale,
13,,Work Life Balance,3/16/2019,"Pittsburgh, PA",4,1715,Flexible work arrangement benefits rescinded,Business Analytics Consultant,Some departments have taken away and/or limited flexible work arrangement benefits that has lead to a mass exit of longtime employees which has severely affected morale,Current Employee,Negative,0.83,mass exit,,
13,,Work Life Balance,3/16/2019,"Pittsburgh, PA",4,1715,Flexible work arrangement benefits rescinded,Business Analytics Consultant,Some departments have taken away and/or limited flexible work arrangement benefits that has lead to a mass exit of longtime employees which has severely affected morale,Current Employee,Negative,0.83,longtime employee,,
13,,Work Life Balance,3/16/2019,"Pittsburgh, PA",4,1715,Flexible work arrangement benefits rescinded,Business Analytics Consultant,Some departments have taken away and/or limited flexible work arrangement benefits that has lead to a mass exit of longtime employees which has severely affected morale,Current Employee,Negative,0.83,morale,,
14,multi-label,Work Life Balance,2/25/2019,"Pittsburgh, PA",4,1770,this place is a great place to work,Notary Public,"this place is a great place to work, It has pretty good work life balance and the pay is pretty competitive for someone coming from the outside. ",Current Employee,Positive,0.996,work life balance,great place,
14,multi-label,Work Life Balance,2/25/2019,"Pittsburgh, PA",4,1770,this place is a great place to work,Notary Public,"this place is a great place to work, It has pretty good work life balance and the pay is pretty competitive for someone coming from the outside. ",Current Employee,Positive,0.996,place,good work life balance,
14,multi-label,Work Life Balance,2/25/2019,"Pittsburgh, PA",4,1770,this place is a great place to work,Notary Public,"this place is a great place to work, It has pretty good work life balance and the pay is pretty competitive for someone coming from the outside. ",Current Employee,Positive,0.996,pay,pretty competitive pay,
14,multi-label,Work Life Balance,2/25/2019,"Pittsburgh, PA",4,1770,this place is a great place to work,Notary Public,"this place is a great place to work, It has pretty good work life balance and the pay is pretty competitive for someone coming from the outside. ",Current Employee,Positive,0.996,outside,,
15,,Work Life Balance,2/19/2019,"Lynchburg, VA",3,1785,Good Place To Work,Customer Support Associate II,Unfortunately I had to resign due to family issues. The were not willing to accommodate a different shift in a timely manner for me to keep my employment there.,Former Employee,Negative,0.642,family issue,,
15,,Work Life Balance,2/19/2019,"Lynchburg, VA",3,1785,Good Place To Work,Customer Support Associate II,Unfortunately I had to resign due to family issues. The were not willing to accommodate a different shift in a timely manner for me to keep my employment there.,Former Employee,Negative,0.802,employment,timely manner,
15,,Work Life Balance,2/19/2019,"Lynchburg, VA",3,1785,Good Place To Work,Customer Support Associate II,Unfortunately I had to resign due to family issues. The were not willing to accommodate a different shift in a timely manner for me to keep my employment there.,Former Employee,Negative,0.802,manner,,
17,multi-label|socialization,Work Life Balance,2/6/2019,"Kalamazoo, MI",4,1817,Solid Job,Customer Service Associate,"Great pay, solid hours and a very understanding work environment (in regards to your coworkers) all mixes together to create a wonderfully progressive and diverse work space.",Former Employee,Positive,0.998,pay,solid hour,
17,multi-label|socialization,Work Life Balance,2/6/2019,"Kalamazoo, MI",4,1817,Solid Job,Customer Service Associate,"Great pay, solid hours and a very understanding work environment (in regards to your coworkers) all mixes together to create a wonderfully progressive and diverse work space.",Former Employee,Positive,0.998,understanding work environment,great pay,
17,multi-label|socialization,Work Life Balance,2/6/2019,"Kalamazoo, MI",4,1817,Solid Job,Customer Service Associate,"Great pay, solid hours and a very understanding work environment (in regards to your coworkers) all mixes together to create a wonderfully progressive and diverse work space.",Former Employee,Positive,0.998,diverse work space,,
17,multi-label|socialization,Work Life Balance,2/6/2019,"Kalamazoo, MI",4,1817,Solid Job,Customer Service Associate,"Great pay, solid hours and a very understanding work environment (in regards to your coworkers) all mixes together to create a wonderfully progressive and diverse work space.",Former Employee,Positive,0.998,coworker,,
17,multi-label|socialization,Work Life Balance,2/6/2019,"Kalamazoo, MI",4,1817,Solid Job,Customer Service Associate,"Great pay, solid hours and a very understanding work environment (in regards to your coworkers) all mixes together to create a wonderfully progressive and diverse work space.",Former Employee,Positive,0.998,regard,,
17,multi-label|socialization,Work Life Balance,2/6/2019,"Kalamazoo, MI",4,1817,Solid Job,Customer Service Associate,"Great pay, solid hours and a very understanding work environment (in regards to your coworkers) all mixes together to create a wonderfully progressive and diverse work space.",Former Employee,Positive,0.998,mix,,
18,,Work Life Balance,2/1/2019,Virginia,2,1832,not enough pay for what they have you do,AVP BRANCH MANAGER II,"depending on the manager you end up with, you may not have any work life balance. ",Former Employee,Neutral,0.586,work life balance,,
18,,Work Life Balance,2/1/2019,Virginia,2,1832,not enough pay for what they have you do,AVP BRANCH MANAGER II,"depending on the manager you end up with, you may not have any work life balance. ",Former Employee,Neutral,0.586,manager,,
19,,Work Life Balance,12/9/2018,"Chicago, IL",3,1925,No advancement,VP Branch Manager Senior,Work life balance needs to be revamped.,Current Employee,Neutral,0.547,work life balance,,Negative
20,,Work Life Balance,12/3/2018,"Cleveland, OH",3,1935,Stressful! Fast paced work environment,Help Desk Analyst,Bathroom breaks are scheduled and time limited.,Former Employee,Neutral,0.521,bathroom break,scheduled bathroom break,Negative
21,,Work Life Balance,11/26/2018,"Baltimore, MD",4,1953,workplace culture,Branch Manager,In hard and challenging times the company was non supportive and understanding of timely demanding issues but expect for team members to be understanding. ,Current Employee,Positive,0.758,company,challenging time,Negative
21,,Work Life Balance,11/26/2018,"Baltimore, MD",4,1953,workplace culture,Branch Manager,In hard and challenging times the company was non supportive and understanding of timely demanding issues but expect for team members to be understanding. ,Current Employee,Positive,0.758,demanding issue,,Negative
21,,Work Life Balance,11/26/2018,"Baltimore, MD",4,1953,workplace culture,Branch Manager,In hard and challenging times the company was non supportive and understanding of timely demanding issues but expect for team members to be understanding. ,Current Employee,Positive,0.758,team member,,Negative
21,,Work Life Balance,11/26/2018,"Baltimore, MD",4,1953,workplace culture,Branch Manager,In hard and challenging times the company was non supportive and understanding of timely demanding issues but expect for team members to be understanding. ,Current Employee,Positive,0.758,understanding,,Negative
22,,Work Life Balance,11/1/2018,"Batavia, IL",1,2027,Avoid this place,Branch Sales and Service Representative,Long hours ,Former Employee,Neutral,0.606,long hour,,Negative
22,,Work Life Balance,11/1/2018,"Batavia, IL",1,2027,Avoid this place,Branch Sales and Service Representative,and then the BM would keep you after hours and also expect you to do events and reach out as well ,Former Employee,Negative,0.954,bm,,
22,,Work Life Balance,11/1/2018,"Batavia, IL",1,2027,Avoid this place,Branch Sales and Service Representative,and then the BM would keep you after hours and also expect you to do events and reach out as well ,Former Employee,Negative,0.954,event,,
22,,Work Life Balance,11/1/2018,"Batavia, IL",1,2027,Avoid this place,Branch Sales and Service Representative,so no work life balance whatsoever. ,Former Employee,Negative,0.984,work life balance,,
25,,Work Life Balance,10/20/2018,"Pittsburgh, PA",5,2061,Relaxed and collaborative workplace with gracious managers,Operations Analyst,My manager and my team were all very nice people that cared about work-life balance. ,Current Employee,Positive,0.624,life balance,nice people,
25,,Work Life Balance,10/20/2018,"Pittsburgh, PA",5,2061,Relaxed and collaborative workplace with gracious managers,Operations Analyst,My manager and my team were all very nice people that cared about work-life balance. ,Current Employee,Positive,0.624,manager,,
25,,Work Life Balance,10/20/2018,"Pittsburgh, PA",5,2061,Relaxed and collaborative workplace with gracious managers,Operations Analyst,My manager and my team were all very nice people that cared about work-life balance. ,Current Employee,Positive,0.624,work-life,,
25,,Work Life Balance,10/20/2018,"Pittsburgh, PA",5,2061,Relaxed and collaborative workplace with gracious managers,Operations Analyst,My manager and my team were all very nice people that cared about work-life balance. ,Current Employee,Positive,0.624,team,,
26,,Work Life Balance,10/4/2018,"Kalamazoo, MI",1,2109,Very difficult Job Inviroment,Customer service Representative,Most people had hours where there tour stated in the am and ended after dark. ,Former Employee,Neutral,0.444,most people,most people had hours,Negative
26,,Work Life Balance,10/4/2018,"Kalamazoo, MI",1,2109,Very difficult Job Inviroment,Customer service Representative,Most people had hours where there tour stated in the am and ended after dark. ,Former Employee,Neutral,0.444,tour,,Negative
27,,Work Life Balance,10/4/2018,"Kalamazoo, MI",1,2109,Very difficult Job Inviroment,Customer service Representative,It is impossible to have a life outside of work with those hours. ,Former Employee,Negative,0.655,work,impossible to have a life,
28,,Work Life Balance,9/23/2018,"Manistee, MI",3,2133,this place Branch life is extremly stressful but the overall company is great,BRANCH MANAGER,"Between employees leave of absences, mandatory vacations, and turnover, I frequently work at night or early morning to just stay a float. ",Current Employee,Neutral,0.532,employee,,Negative
28,,Work Life Balance,9/23/2018,"Manistee, MI",3,2133,this place Branch life is extremly stressful but the overall company is great,BRANCH MANAGER,"Between employees leave of absences, mandatory vacations, and turnover, I frequently work at night or early morning to just stay a float. ",Current Employee,Neutral,0.532,early morning,,Negative
28,,Work Life Balance,9/23/2018,"Manistee, MI",3,2133,this place Branch life is extremly stressful but the overall company is great,BRANCH MANAGER,"Between employees leave of absences, mandatory vacations, and turnover, I frequently work at night or early morning to just stay a float. ",Current Employee,Neutral,0.532,mandatory vacation,,Negative
28,,Work Life Balance,9/23/2018,"Manistee, MI",3,2133,this place Branch life is extremly stressful but the overall company is great,BRANCH MANAGER,"Between employees leave of absences, mandatory vacations, and turnover, I frequently work at night or early morning to just stay a float. ",Current Employee,Neutral,0.532,float,,Negative
28,,Work Life Balance,9/23/2018,"Manistee, MI",3,2133,this place Branch life is extremly stressful but the overall company is great,BRANCH MANAGER,"Between employees leave of absences, mandatory vacations, and turnover, I frequently work at night or early morning to just stay a float. ",Current Employee,Neutral,0.532,absence,,Negative
28,,Work Life Balance,9/23/2018,"Manistee, MI",3,2133,this place Branch life is extremly stressful but the overall company is great,BRANCH MANAGER,"Between employees leave of absences, mandatory vacations, and turnover, I frequently work at night or early morning to just stay a float. ",Current Employee,Neutral,0.532,night,,Negative
28,,Work Life Balance,9/23/2018,"Manistee, MI",3,2133,this place Branch life is extremly stressful but the overall company is great,BRANCH MANAGER,"Between employees leave of absences, mandatory vacations, and turnover, I frequently work at night or early morning to just stay a float. ",Current Employee,Neutral,0.532,turnover,,Negative
29,,Work Life Balance,9/17/2018,North Carolina,1,2148,Decent pay but absolutely awful management,Branch Sales and Service Associate,Would be forced to take random conference calls during peak hours despite heavy traffic. ,Former Employee,Negative,0.837,random conference call,,
29,,Work Life Balance,9/17/2018,North Carolina,1,2148,Decent pay but absolutely awful management,Branch Sales and Service Associate,Would be forced to take random conference calls during peak hours despite heavy traffic. ,Former Employee,Negative,0.837,peak hour,,
29,,Work Life Balance,9/17/2018,North Carolina,1,2148,Decent pay but absolutely awful management,Branch Sales and Service Associate,Would be forced to take random conference calls during peak hours despite heavy traffic. ,Former Employee,Negative,0.837,heavy traffic,,
30,multi-label,Work Life Balance,9/17/2018,North Carolina,1,2148,Decent pay but absolutely awful management,Branch Sales and Service Associate,Often worked till 7pm or later despite branch closing at 5 because in branch manager couldn't finish their daily tasks. ,Former Employee,Negative,0.771,branch manager,,
30,multi-label,Work Life Balance,9/17/2018,North Carolina,1,2148,Decent pay but absolutely awful management,Branch Sales and Service Associate,Often worked till 7pm or later despite branch closing at 5 because in branch manager couldn't finish their daily tasks. ,Former Employee,Negative,0.771,daily task,,
30,multi-label,Work Life Balance,9/17/2018,North Carolina,1,2148,Decent pay but absolutely awful management,Branch Sales and Service Associate,Often worked till 7pm or later despite branch closing at 5 because in branch manager couldn't finish their daily tasks. ,Former Employee,Negative,0.771,branch,,
31,,Work Life Balance,9/7/2018,"Jacksonville, FL",5,2185,Ability to work Remote,Mortgage Underwriter,I love being able to work from home and have the ability to start work at 9am. ,Current Employee,Positive,0.855,work,,
31,,Work Life Balance,9/7/2018,"Jacksonville, FL",5,2185,Ability to work Remote,Mortgage Underwriter,I love being able to work from home and have the ability to start work at 9am. ,Current Employee,Positive,0.855,ability,,
31,,Work Life Balance,9/7/2018,"Jacksonville, FL",5,2185,Ability to work Remote,Mortgage Underwriter,I love being able to work from home and have the ability to start work at 9am. ,Current Employee,Positive,0.855,home,,
32,,Work Life Balance,9/7/2018,"Jacksonville, FL",5,2185,Ability to work Remote,Mortgage Underwriter,No overtime is a blessing and a curse.,Current Employee,Positive,0.414,overtime,,Neutral
32,,Work Life Balance,9/7/2018,"Jacksonville, FL",5,2185,Ability to work Remote,Mortgage Underwriter,No overtime is a blessing and a curse.,Current Employee,Positive,0.414,blessing,,Neutral
32,,Work Life Balance,9/7/2018,"Jacksonville, FL",5,2185,Ability to work Remote,Mortgage Underwriter,No overtime is a blessing and a curse.,Current Employee,Positive,0.414,curse,,Neutral
33,,Work Life Balance,8/7/2018,"Pittsburgh, PA",1,2289,Customer Service Rep was the worst job you could have at this place.,Customer Service Representative,Terrible hours. ,Former Employee,Negative,0.995,,terrible hour,
34,,Work Life Balance,7/13/2018,"Jacksonville, FL",2,2375,Management Issues,Business Systems Analyst II,yet they don't want you charging overtime. ,Former Employee,Negative,0.751,overtime,,
35,,Work Life Balance,6/22/2018,"Gaithersburg, MD",4,2427,Great job if you don't mind working.,Experiential Sales Ambassador,Work life balance is tested throughout the company. ,Current Employee,Positive,0.588,work life balance,tested work life balance,Neutral
35,,Work Life Balance,6/22/2018,"Gaithersburg, MD",4,2427,Great job if you don't mind working.,Experiential Sales Ambassador,Work life balance is tested throughout the company. ,Current Employee,Positive,0.588,company,,Neutral
36,,Work Life Balance,6/11/2018,"Brecksville, OH",3,2469,Okay work culture,Bankruptcy Analyst,conservative culture but provides good work life balance good people small cafeteria ,Current Employee,Positive,0.98,work life,good people small cafeteria,
36,,Work Life Balance,6/11/2018,"Brecksville, OH",3,2469,Okay work culture,Bankruptcy Analyst,conservative culture but provides good work life balance good people small cafeteria ,Current Employee,Positive,0.98,culture,good work life,Neutral
36,,Work Life Balance,6/11/2018,"Brecksville, OH",3,2469,Okay work culture,Bankruptcy Analyst,conservative culture but provides good work life balance good people small cafeteria ,Current Employee,Positive,0.98,small cafeteria,conservative culture,Negative
37,,Work Life Balance,5/31/2018,"Leola, PA",3,2495,N/a,Branch Manager,"They add stress not only to your work life, but to home life too.",Current Employee,Positive,0.987,work life,,Negative
37,,Work Life Balance,5/31/2018,"Leola, PA",3,2495,N/a,Branch Manager,"They add stress not only to your work life, but to home life too.",Current Employee,Positive,0.987,stress,,Negative
37,,Work Life Balance,5/31/2018,"Leola, PA",3,2495,N/a,Branch Manager,"They add stress not only to your work life, but to home life too.",Current Employee,Positive,0.987,life,,Negative
38,,Work Life Balance,5/31/2018,"Leola, PA",3,2495,N/a,Branch Manager,They expect you to get things done in 40 hours but you are given things that would take you 70 hours a week to do. ,Current Employee,Neutral,0.729,,,Negative
39,,Work Life Balance,8/6/2021,"Palisades Park, NJ",5,327,Family oriented company,TELLER SUPERVISOR,The company still care for the employees and employees quality life. ,Current Employee,Positive,0.843,company,,
39,,Work Life Balance,8/6/2021,"Palisades Park, NJ",5,327,Family oriented company,TELLER SUPERVISOR,The company still care for the employees and employees quality life. ,Current Employee,Positive,0.843,employee quality life,,
40,benefits,Work Life Balance,3/3/2018,"Pittsburgh, PA",5,2766,Good place to work.,Chief Financial Officer,this place is a good company with great benefits and offers a very good work life balance. ,Current Employee,Positive,0.98,work life balance,good company,
40,benefits,Work Life Balance,3/3/2018,"Pittsburgh, PA",5,2766,Good place to work.,Chief Financial Officer,this place is a good company with great benefits and offers a very good work life balance. ,Current Employee,Positive,0.98,company,good work life balance,
40,benefits,Work Life Balance,3/3/2018,"Pittsburgh, PA",5,2766,Good place to work.,Chief Financial Officer,this place is a good company with great benefits and offers a very good work life balance. ,Current Employee,Positive,0.98,place,great benefit,
40,benefits,Work Life Balance,3/3/2018,"Pittsburgh, PA",5,2766,Good place to work.,Chief Financial Officer,this place is a good company with great benefits and offers a very good work life balance. ,Current Employee,Positive,0.98,benefit,,
41,,Work Life Balance,3/3/2018,"Pittsburgh, PA",5,2766,Good place to work.,Chief Financial Officer,Great company for a person with a family as there are many options availale to assist.,Current Employee,Positive,0.988,company,great company,
41,,Work Life Balance,3/3/2018,"Pittsburgh, PA",5,2766,Good place to work.,Chief Financial Officer,Great company for a person with a family as there are many options availale to assist.,Current Employee,Positive,0.988,option availale,,
42,,Work Life Balance,2/23/2018,"Greensburg, PA",4,2793,Part time,Customer Service Specialist,Able to balance home and work when my child was younger.,Former Employee,Positive,0.89,work,,
42,,Work Life Balance,2/23/2018,"Greensburg, PA",4,2793,Part time,Customer Service Specialist,Able to balance home and work when my child was younger.,Former Employee,Positive,0.89,child,,
43,,Work Life Balance,2/4/2018,"Mount Pleasant, MI",1,2860,TERRIBLE Place of Employment,Teller Supervisor,No one trusted anyone and yu are expected to be there even when you are not feeling well.,Former Employee,Negative,0.84,,,
44,,Work Life Balance,7/21/2021,Remote,5,349,Stressful,Bilingual Customer Service Representative,"Very stressful, back to back phone calls, and working weekends. ",Former Employee,Negative,0.903,back phone call,,
44,,Work Life Balance,7/21/2021,Remote,5,349,Stressful,Bilingual Customer Service Representative,"Very stressful, back to back phone calls, and working weekends. ",Former Employee,Negative,0.903,weekend,,
45,,Work Life Balance,7/21/2021,Remote,5,349,Stressful,Bilingual Customer Service Representative,Two years working there ,Former Employee,Neutral,0.57,,,
46,,Work Life Balance,7/21/2021,Remote,5,349,Stressful,Bilingual Customer Service Representative,and I could not take it anymore.,Former Employee,Negative,0.829,,,
47,,Work Life Balance,7/21/2021,Remote,5,349,Stressful,Bilingual Customer Service Representative,I could not handle the high stress call center environment and I had to resign. ,Former Employee,Negative,0.834,high stress call center environment,,
48,,Work Life Balance,1/31/2018,"Washington City, DC",3,2878,Happy to be gone,Teller Supervisor,It is highly sales driven and doesn't have much understand for workers with small children,Former Employee,Negative,0.911,small child,,
48,,Work Life Balance,1/31/2018,"Washington City, DC",3,2878,Happy to be gone,Teller Supervisor,It is highly sales driven and doesn't have much understand for workers with small children,Former Employee,Negative,0.911,understand for workers,,
48,,Work Life Balance,1/31/2018,"Washington City, DC",3,2878,Happy to be gone,Teller Supervisor,It is highly sales driven and doesn't have much understand for workers with small children,Former Employee,Negative,0.911,sale,,
49,,Work Life Balance,1/11/2018,"Cleveland, OH",4,2956,Great Place to Start your Career,Supervisor,Work Life balance is wonderful at this company! ,Current Employee,Positive,0.984,work life balance,,
49,,Work Life Balance,1/11/2018,"Cleveland, OH",4,2956,Great Place to Start your Career,Supervisor,Work Life balance is wonderful at this company! ,Current Employee,Positive,0.984,company,,
50,,Work Life Balance,12/22/2017,"Wyoming, MI",4,3030,Review,Financial Consultant I,Love the hours monday through friday 8 to 5 with paid holidays and occasional weekends that you would work. ,Former Employee,Positive,0.904,occasional weekend,paid holiday,
50,,Work Life Balance,12/22/2017,"Wyoming, MI",4,3030,Review,Financial Consultant I,Love the hours monday through friday 8 to 5 with paid holidays and occasional weekends that you would work. ,Former Employee,Positive,0.904,hour monday,,
50,,Work Life Balance,12/22/2017,"Wyoming, MI",4,3030,Review,Financial Consultant I,Love the hours monday through friday 8 to 5 with paid holidays and occasional weekends that you would work. ,Former Employee,Positive,0.904,holiday,,
51,,Work Life Balance,12/18/2017,Prospect,3,3035,Intensive work place,Bank Assistant Branch Manager Prospect Point,Not a work life balance. ,Current Employee,Negative,0.905,work life balance,,
52,,Work Life Balance,12/14/2017,"Pittsburgh, PA",4,3042,this place Review,Customer Care Specialist,They are very accommodating for many different life events.,Current Employee,Positive,0.986,different life event,,
53,,Work Life Balance,12/8/2017,"Centerville, OH",2,3065,Don't get pregnant or have small children,Branch Sales and Service Representative,"If you get pregnant your days are numbered, and depending on what area your branch is in, don't expect diversity. ",Former Employee,Negative,0.455,branch,numbered day,
53,,Work Life Balance,12/8/2017,"Centerville, OH",2,3065,Don't get pregnant or have small children,Branch Sales and Service Representative,"If you get pregnant your days are numbered, and depending on what area your branch is in, don't expect diversity. ",Former Employee,Negative,0.455,diversity,,
53,,Work Life Balance,12/8/2017,"Centerville, OH",2,3065,Don't get pregnant or have small children,Branch Sales and Service Representative,"If you get pregnant your days are numbered, and depending on what area your branch is in, don't expect diversity. ",Former Employee,Negative,0.455,area,,
54,,Work Life Balance,12/8/2017,"Centerville, OH",2,3065,Don't get pregnant or have small children,Branch Sales and Service Representative,"I was bullied while pregnant, made to lift heavy things and my lunch was my only break.",Former Employee,Negative,0.659,break,,
54,,Work Life Balance,12/8/2017,,,,,,,,,,lunch,,
55,,Work Life Balance,12/7/2017,"Clifton, NJ",1,3070,Teller,Teller,If you are a student make sure to be flexible as they will not be.,Current Employee,Negative,0.485,student,,
